Latitude,Longitude,Area Type,Soil Type,Water Sources,Previous Crop,Land Acres,Cropping Type,Crop Category,Crop,Duration (Days),Investment (₹),Profit (₹)
24.39,84.15,Plateau,Entisol,Irrigated,Black Gram,4.4,Mixed,Agroforestry,Mango+Lentil,330,24373,60194
23.27,85.72,Plain,Red Soil,Rainfed,Maize+Mustard,4.4,Perennial,Cash Crops,Jute,216,85047,330194
23.85,85.74,Plain,Alfisol,Rainfed,Black Gram,4.1,Perennial,Fruits,Banana,250,21467,51133
24.37,84.24,Plain,Alfisol,Irrigated,Millets,1.6,Short-term,Vegetables,Potato,104,22943,59503
23.05,84.07,Plateau,Laterite,Canal,Pea,2.2,Long-term,Cereals,Wheat,179,11069,33701
24.05,84.53,Hilly,Inceptisol,Irrigated,Wheat,3.9,Long-term,Cereals,Millets,138,14089,41817
23.45,84.1,Plateau,Entisol,Rainfed,Onion,2.7,Perennial,Cash Crops,Tobacco,286,80356,171822
24.39,85.18,Plateau,Entisol,Rainfed,Paddy,1.2,Short-term,Cereals,Millets,116,9744,26819
24.46,85.57,Plateau,Laterite,Rainfed,Maize+Mustard,1.6,Perennial,Fruits,Guava,356,34419,70365
24.42,85.18,Hilly,Inceptisol,Irrigated,Brinjal,4.9,Perennial,Fruits,Banana,259,23085,61375
23.71,85.56,Hilly,Laterite,Irrigated,Pigeon Pea,1.2,Short-term,Oilseeds,Soybean,92,28634,100234
24.29,84.49,Plain,Alfisol,Rainfed,Tea,3.8,Short-term,Pulses,Pea,119,8964,32537
24.27,83.89,Plateau,Entisol,Canal,Brinjal,2.7,Long-term,Oilseeds,Groundnut,128,21330,77820
23.48,85.34,Plain,Alfisol,Irrigated,Banana+Pea,3.9,Mixed,Agroforestry,Rice+Lentil,309,43965,98814
24.24,84.4,Plain,Alfisol,Irrigated,Paddy,3.5,Perennial,Cash Crops,Cotton,185,96227,223517
23.06,85.18,Hilly,Inceptisol,Tube-well,Mango,2.5,Perennial,Fruits,Litchi,234,46536,123156
23.89,84.18,Plain,Red Soil,Rainfed,Green Gram,2.1,Short-term,Oilseeds,Niger,117,24306,69226
23.35,83.7,Hilly,Laterite,Tube-well,Sunflower,3.9,Short-term,Pulses,Pea,109,19113,68634
23.18,85.98,Hilly,Inceptisol,Rainfed,Jackfruit,2.0,Long-term,Vegetables,Cauliflower,145,24410,64646
23.12,83.89,Hilly,Laterite,Rainfed,Ladyfinger,4.0,Perennial,Fruits,Banana,314,16588,64119
24.04,85.97,Plateau,Laterite,Canal,Cabbage,3.6,Mixed,Agroforestry,Banana+Pea,310,37151,137498
23.51,85.94,Plain,Alfisol,Tube-well,Green Gram,3.1,Short-term,Oilseeds,Mustard,99,21536,45772
24.09,85.48,Hilly,Laterite,Irrigated,Black Gram,2.2,Short-term,Oilseeds,Soybean,101,28161,101835
23.1,85.15,Hilly,Laterite,Irrigated,Paddy,1.4,Perennial,Fruits,Mango,277,42947,159426
23.47,84.94,Hilly,Laterite,Irrigated,Rice,3.7,Short-term,Pulses,Green Gram,104,11720,40745
23.81,85.67,Plateau,Laterite,Canal,Sugarcane,0.9,Perennial,Fruits,Mango,301,23727,77421
24.19,84.22,Plain,Alfisol,Rainfed,Mustard,4.9,Perennial,Fruits,Banana,309,22924,55063
23.48,84.67,Hilly,Laterite,Canal,Banana+Pea,4.9,Perennial,Fruits,Papaya,228,30009,91930
23.94,85.05,Plain,Alfisol,Rainfed,Mango+Lentil,1.1,Short-term,Cereals,Rice,92,9534,33703
24.33,84.53,Plateau,Entisol,Rainfed,Sunflower,1.0,Short-term,Cereals,Rice,119,6006,16740
23.92,84.57,Plain,Red Soil,Rainfed,Sorghum,2.4,Short-term,Oilseeds,Sesame,102,20311,41159
23.35,84.33,Plateau,Entisol,Irrigated,Rice+Lentil,4.8,Short-term,Pulses,Gram,98,5539,18124
23.04,84.91,Plain,Red Soil,Tube-well,Rice,2.3,Perennial,Fruits,Jackfruit,277,40398,142656
24.31,85.63,Plain,Alfisol,Irrigated,Mango+Lentil,2.1,Short-term,Vegetables,Cauliflower,98,8051,24536
23.03,84.0,Hilly,Laterite,Tube-well,Cauliflower,3.7,Mixed,Agroforestry,Timber+Paddy,364,23096,88992
24.31,85.84,Plateau,Laterite,Rainfed,Cotton,1.3,Short-term,Cereals,Paddy,115,13484,27684
23.79,85.22,Hilly,Inceptisol,Irrigated,Cotton,2.1,Short-term,Vegetables,Tomato,101,28956,68582
24.41,85.56,Plateau,Laterite,Canal,Cauliflower,1.8,Perennial,Cash Crops,Jute,210,60747,181243
24.2,84.89,Hilly,Laterite,Irrigated,Soybean,3.2,Short-term,Vegetables,Cauliflower,119,20631,63196
24.5,85.45,Hilly,Laterite,Irrigated,Sunflower,1.2,Mixed,Agroforestry,Mango+Lentil,362,26725,65520
23.53,83.54,Plain,Red Soil,Irrigated,Green Gram,3.0,Perennial,Cash Crops,Coffee,324,80436,310111
24.15,85.55,Plateau,Entisol,Canal,Paddy,4.4,Short-term,Vegetables,Tomato,70,13583,39279
23.6,83.6,Plain,Alfisol,Canal,Lentil,2.8,Short-term,Pulses,Lentil,88,7925,19934
23.72,85.72,Plateau,Entisol,Rainfed,Jute,3.6,Perennial,Cash Crops,Coffee,201,86547,328452
23.94,85.98,Plateau,Laterite,Canal,Brinjal,0.8,Long-term,Cash Crops,Jute,162,46719,141888
24.31,84.24,Plateau,Entisol,Rainfed,Rice+Lentil,2.5,Perennial,Fruits,Mango,330,16276,60103
24.48,84.03,Hilly,Laterite,Rainfed,Brinjal,0.9,Long-term,Cereals,Barley,145,17292,67708
24.15,85.41,Hilly,Laterite,Canal,Ladyfinger,3.2,Mixed,Agroforestry,Timber+Paddy,341,65748,203646
23.63,84.13,Plateau,Laterite,Rainfed,Rice,1.8,Long-term,Cereals,Millets,158,5062,11703
23.63,85.66,Plain,Alfisol,Canal,Mustard,1.8,Mixed,Agroforestry,Timber+Paddy,192,55618,180897
24.11,83.76,Hilly,Inceptisol,Rainfed,Jackfruit,0.8,Short-term,Pulses,Gram,88,14272,54975
23.36,83.81,Plain,Alfisol,Rainfed,Pea,1.9,Long-term,Cereals,Sorghum,152,12633,41278
23.17,85.95,Hilly,Inceptisol,Rainfed,Rice,2.8,Perennial,Fruits,Papaya,258,31497,66366
23.53,85.18,Plain,Red Soil,Rainfed,Barley,3.1,Long-term,Vegetables,Onion,146,27160,88280
23.43,85.62,Plain,Alfisol,Irrigated,Maize,0.8,Perennial,Cash Crops,Sugarcane,350,21883,60417
23.44,84.31,Plain,Alfisol,Rainfed,Mango,3.4,Perennial,Fruits,Jackfruit,222,16562,40137
23.35,85.19,Hilly,Inceptisol,Rainfed,Cabbage,2.7,Long-term,Oilseeds,Mustard,124,25433,69083
23.06,84.99,Hilly,Inceptisol,Rainfed,Sesame,2.9,Perennial,Fruits,Jackfruit,265,29359,63873
23.03,85.01,Plain,Red Soil,Rainfed,Groundnut,4.2,Short-term,Oilseeds,Niger,90,22136,52233
24.48,85.21,Hilly,Inceptisol,Irrigated,Wheat,2.0,Short-term,Oilseeds,Groundnut,101,16258,45818
23.64,84.94,Plain,Alfisol,Rainfed,Green Gram,1.3,Short-term,Pulses,Gram,84,12791,32352
23.58,84.57,Hilly,Inceptisol,Irrigated,Groundnut,3.0,Perennial,Cash Crops,Jute,219,81387,268243
24.02,84.19,Hilly,Laterite,Tube-well,Gram,4.8,Short-term,Oilseeds,Groundnut,115,13807,33870
23.33,85.42,Hilly,Inceptisol,Irrigated,Banana+Pea,2.8,Mixed,Agroforestry,Banana+Pea,316,26908,78251
24.42,84.07,Plateau,Entisol,Canal,Gram,4.2,Perennial,Fruits,Litchi,252,44922,130354
24.18,85.23,Plain,Alfisol,Rainfed,Pea,3.9,Short-term,Vegetables,Potato,114,17190,66454
23.13,84.08,Plateau,Laterite,Rainfed,Sugarcane,2.8,Short-term,Pulses,Green Gram,112,10803,41384
23.63,85.06,Hilly,Laterite,Canal,Litchi,3.4,Short-term,Pulses,Pigeon Pea,80,19469,76862
24.32,85.37,Hilly,Inceptisol,Irrigated,Black Gram,2.3,Perennial,Fruits,Papaya,332,47580,103810
24.42,84.05,Hilly,Inceptisol,Irrigated,Lentil,2.9,Short-term,Oilseeds,Niger,114,24590,77072
23.7,83.65,Plain,Red Soil,Irrigated,Coffee,2.8,Perennial,Fruits,Banana,310,21788,67421
23.92,83.83,Hilly,Laterite,Rainfed,Lentil,3.7,Perennial,Fruits,Banana,297,20987,54534
23.25,85.01,Hilly,Laterite,Rainfed,Sesame,2.3,Short-term,Oilseeds,Soybean,113,25433,57689
24.49,85.62,Plain,Red Soil,Irrigated,Guava,0.9,Perennial,Fruits,Jackfruit,314,48741,162603
23.35,83.61,Plain,Red Soil,Irrigated,Jackfruit,4.0,Short-term,Oilseeds,Sunflower,111,29691,99886
24.41,85.34,Plain,Alfisol,Rainfed,Maize+Mustard,3.6,Short-term,Oilseeds,Soybean,92,29013,93539
23.97,84.35,Plateau,Entisol,Canal,Brinjal,4.8,Perennial,Fruits,Mango,226,16473,43568
23.91,84.7,Hilly,Inceptisol,Rainfed,Pigeon Pea,2.4,Long-term,Cereals,Rice,174,10296,39197
23.77,85.82,Plain,Alfisol,Rainfed,Tomato,0.9,Long-term,Cash Crops,Cotton,170,35345,71087
23.35,84.33,Plain,Red Soil,Canal,Niger,1.0,Short-term,Pulses,Gram,88,8473,26946
23.26,84.66,Hilly,Laterite,Irrigated,Tea,4.0,Perennial,Cash Crops,Sugarcane,331,58159,214844
23.33,83.53,Plateau,Laterite,Irrigated,Ladyfinger,0.8,Long-term,Oilseeds,Mustard,128,28988,94744
23.28,83.7,Plain,Red Soil,Rainfed,Pea,4.6,Long-term,Cereals,Wheat,137,10364,26121
24.17,84.15,Plain,Red Soil,Rainfed,Cauliflower,1.8,Mixed,Agroforestry,Timber+Paddy,190,21295,83738
23.53,83.57,Plateau,Entisol,Irrigated,Green Gram,4.5,Long-term,Vegetables,Onion,146,23456,65140
23.09,85.08,Plain,Alfisol,Rainfed,Cotton,4.0,Long-term,Oilseeds,Sunflower,121,27406,55892
24.45,84.57,Plain,Alfisol,Canal,Papaya,4.4,Short-term,Oilseeds,Niger,112,23930,63147
24.33,84.87,Plateau,Entisol,Tube-well,Tea,1.5,Perennial,Cash Crops,Cotton,295,88422,255724
24.39,83.94,Hilly,Inceptisol,Canal,Paddy,3.2,Short-term,Oilseeds,Sunflower,90,15293,33592
24.49,84.24,Plain,Red Soil,Rainfed,Guava,0.9,Long-term,Cereals,Paddy,126,15581,35305
23.26,85.16,Plain,Red Soil,Irrigated,Sunflower,1.4,Short-term,Vegetables,Cabbage,83,25602,91990
23.59,85.91,Plain,Red Soil,Rainfed,Green Gram,1.9,Long-term,Cereals,Barley,154,19105,71115
24.14,83.63,Plain,Red Soil,Rainfed,Cauliflower,3.8,Short-term,Oilseeds,Sesame,95,29290,72473
24.04,85.73,Plateau,Laterite,Rainfed,Litchi,0.6,Short-term,Oilseeds,Mustard,97,8058,16886
23.23,84.94,Hilly,Inceptisol,Rainfed,Mango,4.6,Perennial,Fruits,Litchi,244,49780,104412
24.22,84.91,Plateau,Entisol,Tube-well,Potato,0.8,Long-term,Vegetables,Brinjal,135,9982,34780
23.34,84.75,Plateau,Entisol,Rainfed,Rice,2.2,Long-term,Fruits,Banana,155,18209,48576
23.34,83.67,Hilly,Laterite,Rainfed,Soybean,0.9,Long-term,Fruits,Papaya,174,29651,117784
23.81,83.72,Plain,Red Soil,Tube-well,Maize,4.0,Perennial,Fruits,Papaya,200,22705,72317
23.89,85.0,Hilly,Laterite,Rainfed,Millets,1.1,Short-term,Cereals,Barley,119,7268,24784
23.87,84.35,Plateau,Laterite,Irrigated,Mustard,4.5,Perennial,Fruits,Banana,213,17461,61920
23.14,85.79,Plateau,Entisol,Rainfed,Tobacco,2.9,Perennial,Cash Crops,Jute,319,39133,101625
24.32,84.52,Plain,Red Soil,Rainfed,Sugarcane,4.8,Short-term,Pulses,Gram,110,16179,35933
23.4,83.86,Hilly,Inceptisol,Tube-well,Tobacco,1.8,Mixed,Agroforestry,Rice+Lentil,292,41439,154705
23.19,85.29,Hilly,Laterite,Rainfed,Gram,2.5,Long-term,Cereals,Sorghum,159,5937,22146
24.33,84.23,Plateau,Entisol,Irrigated,Ladyfinger,3.6,Long-term,Vegetables,Cauliflower,132,13816,45232
24.43,84.81,Plain,Red Soil,Rainfed,Soybean,4.2,Long-term,Cereals,Sorghum,177,18829,62624
24.29,85.24,Hilly,Laterite,Rainfed,Mustard,2.4,Long-term,Cereals,Barley,150,15703,58959
24.21,85.75,Plateau,Entisol,Rainfed,Tomato,4.5,Short-term,Oilseeds,Groundnut,109,29049,71112
23.98,85.48,Hilly,Inceptisol,Rainfed,Niger,1.0,Long-term,Vegetables,Potato,123,28782,93961
23.83,85.19,Hilly,Laterite,Rainfed,Sugarcane,3.7,Mixed,Agroforestry,Timber+Paddy,189,62210,171598
23.13,85.2,Plain,Alfisol,Irrigated,Tea,2.1,Mixed,Agroforestry,Rice+Lentil,219,51043,168598
23.61,85.86,Plain,Red Soil,Rainfed,Cauliflower,1.0,Mixed,Agroforestry,Mango+Lentil,295,19069,53742
23.56,84.24,Plain,Red Soil,Rainfed,Pea,2.2,Perennial,Fruits,Papaya,195,10345,25632
23.39,83.5,Plateau,Entisol,Rainfed,Cotton,4.5,Mixed,Agroforestry,Banana+Pea,232,24363,52496
24.09,84.18,Plain,Red Soil,Tube-well,Tea,4.9,Perennial,Fruits,Banana,364,18048,64818
23.74,84.04,Hilly,Laterite,Tube-well,Tea,2.3,Short-term,Cereals,Sorghum,99,5450,20454
23.12,85.15,Hilly,Inceptisol,Irrigated,Groundnut,4.5,Mixed,Agroforestry,Rice+Lentil,208,51772,180197
23.33,85.08,Plain,Red Soil,Canal,Soybean,2.8,Mixed,Agroforestry,Banana+Pea,217,28015,60764
24.02,84.98,Hilly,Laterite,Rainfed,Sesame,3.7,Short-term,Pulses,Pea,105,14659,51617
23.11,83.54,Plateau,Laterite,Rainfed,Paddy,0.7,Long-term,Vegetables,Onion,140,26114,58871
24.28,85.32,Plateau,Laterite,Irrigated,Cabbage,3.0,Perennial,Cash Crops,Tobacco,266,20203,56124
23.74,84.31,Hilly,Inceptisol,Irrigated,Jackfruit,0.8,Perennial,Fruits,Guava,306,18298,56791
23.72,85.16,Hilly,Inceptisol,Rainfed,Banana+Pea,1.7,Perennial,Cash Crops,Cotton,321,27825,86888
23.89,84.89,Plain,Alfisol,Rainfed,Niger,3.1,Mixed,Agroforestry,Rice+Lentil,224,42151,127629
24.24,84.36,Plateau,Laterite,Tube-well,Maize+Mustard,4.1,Perennial,Fruits,Papaya,302,11672,23745
23.52,83.84,Plain,Alfisol,Canal,Rice,3.0,Short-term,Oilseeds,Soybean,115,22665,89742
24.02,83.74,Plateau,Entisol,Rainfed,Jute,4.7,Long-term,Cereals,Maize,121,5087,17320
23.85,85.58,Plain,Alfisol,Irrigated,Barley,4.1,Perennial,Cash Crops,Cotton,301,57018,166722
23.4,85.8,Plateau,Laterite,Rainfed,Black Gram,1.2,Short-term,Vegetables,Cabbage,108,16513,35764
24.32,85.12,Plateau,Entisol,Rainfed,Black Gram,2.3,Long-term,Cereals,Wheat,134,7559,29540
24.2,83.76,Plateau,Entisol,Rainfed,Potato,3.5,Short-term,Cereals,Maize,102,19047,42814
23.99,84.51,Plain,Red Soil,Rainfed,Niger,4.7,Perennial,Cash Crops,Tea,246,59293,200205
24.28,85.32,Hilly,Laterite,Rainfed,Lentil,4.9,Perennial,Cash Crops,Jute,309,77373,178195
24.3,85.45,Hilly,Laterite,Canal,Banana+Pea,3.9,Short-term,Pulses,Black Gram,102,8819,34856
24.06,83.8,Plateau,Laterite,Rainfed,Tea,3.1,Perennial,Fruits,Jackfruit,320,34317,121568
24.26,83.5,Plain,Red Soil,Irrigated,Timber+Paddy,3.9,Mixed,Agroforestry,Rice+Lentil,210,74312,266780
24.05,85.28,Plateau,Laterite,Rainfed,Jackfruit,1.7,Long-term,Cereals,Barley,130,17531,65140
24.02,84.39,Plateau,Entisol,Rainfed,Jute,1.8,Short-term,Vegetables,Cauliflower,88,10262,22938
23.93,84.14,Plain,Alfisol,Canal,Litchi,3.4,Short-term,Pulses,Gram,117,10240,34533
24.13,83.53,Plateau,Laterite,Irrigated,Jackfruit,4.4,Short-term,Oilseeds,Soybean,92,12993,51334
23.24,84.85,Hilly,Laterite,Tube-well,Coffee,4.9,Long-term,Fruits,Jackfruit,169,23515,88795
24.32,85.63,Hilly,Inceptisol,Tube-well,Jackfruit,2.0,Perennial,Fruits,Jackfruit,185,17341,58966
24.31,85.89,Plain,Red Soil,Rainfed,Banana+Pea,4.1,Long-term,Oilseeds,Mustard,126,19156,54275
23.04,84.91,Hilly,Laterite,Rainfed,Coffee,4.3,Perennial,Cash Crops,Tea,337,35779,89984
24.24,84.79,Plateau,Entisol,Canal,Rice+Lentil,3.3,Perennial,Fruits,Papaya,237,16395,38764
23.19,83.71,Hilly,Laterite,Tube-well,Tobacco,2.1,Mixed,Agroforestry,Banana+Pea,344,57811,199650
23.5,84.87,Hilly,Laterite,Irrigated,Guava,3.3,Short-term,Oilseeds,Soybean,118,17550,68358
24.12,84.45,Hilly,Inceptisol,Irrigated,Jackfruit,3.1,Perennial,Fruits,Banana,361,29755,73194
23.24,85.02,Plateau,Entisol,Irrigated,Wheat,3.2,Perennial,Fruits,Mango,355,41863,112055
24.23,84.47,Plain,Alfisol,Rainfed,Pigeon Pea,3.3,Short-term,Oilseeds,Niger,100,20021,66567
24.25,84.1,Plateau,Entisol,Irrigated,Tomato,4.3,Perennial,Fruits,Banana,305,11676,31142
23.76,83.74,Hilly,Inceptisol,Canal,Coffee,1.3,Short-term,Oilseeds,Mustard,113,8602,19141
23.01,84.29,Plain,Red Soil,Irrigated,Lentil,2.2,Short-term,Pulses,Lentil,108,17871,36809
23.43,83.74,Plain,Red Soil,Rainfed,Tobacco,3.1,Short-term,Pulses,Black Gram,112,10863,22105
23.93,83.94,Hilly,Laterite,Rainfed,Niger,1.8,Perennial,Fruits,Mango,260,30131,65458
24.47,85.97,Plateau,Laterite,Rainfed,Maize+Mustard,4.9,Short-term,Cereals,Barley,114,18881,68355
23.95,84.61,Plain,Red Soil,Rainfed,Paddy,1.7,Short-term,Vegetables,Tomato,103,13259,51368
23.39,84.83,Plateau,Entisol,Tube-well,Barley,2.6,Short-term,Pulses,Lentil,109,16300,35522
23.95,85.68,Plain,Red Soil,Rainfed,Timber+Paddy,4.4,Long-term,Cereals,Sorghum,156,10552,35657
23.81,85.99,Hilly,Laterite,Rainfed,Cauliflower,0.9,Mixed,Agroforestry,Timber+Paddy,326,24559,81370
24.17,84.96,Plateau,Laterite,Rainfed,Mango+Lentil,4.2,Long-term,Cereals,Millets,169,16103,42411
23.16,85.53,Plateau,Laterite,Irrigated,Paddy,3.1,Mixed,Agroforestry,Mango+Lentil,240,52892,205148
24.14,84.32,Plain,Red Soil,Irrigated,Pigeon Pea,0.6,Short-term,Vegetables,Tomato,80,27049,90036
23.81,84.26,Hilly,Inceptisol,Rainfed,Lentil,4.6,Long-term,Cereals,Paddy,173,9106,21633
24.44,84.51,Plain,Red Soil,Rainfed,Guava,0.7,Short-term,Oilseeds,Sesame,92,17990,48758
23.51,85.18,Hilly,Laterite,Rainfed,Mango+Lentil,2.8,Perennial,Fruits,Litchi,302,36798,142940
23.95,85.21,Plateau,Laterite,Irrigated,Maize,0.7,Long-term,Fruits,Jackfruit,162,33337,96264
24.4,84.29,Plateau,Laterite,Rainfed,Cabbage,0.8,Perennial,Cash Crops,Sugarcane,223,49297,126460
23.15,83.83,Plain,Red Soil,Tube-well,Maize+Mustard,4.5,Perennial,Cash Crops,Tea,280,45938,168355
24.41,85.08,Plateau,Laterite,Rainfed,Tomato,3.9,Long-term,Oilseeds,Soybean,120,22063,81831
24.03,83.82,Hilly,Inceptisol,Rainfed,Jackfruit,1.4,Perennial,Fruits,Litchi,361,39954,146181
23.1,84.95,Plain,Red Soil,Irrigated,Paddy,3.3,Perennial,Fruits,Guava,213,22321,77209
23.45,85.23,Hilly,Inceptisol,Rainfed,Paddy,4.1,Perennial,Cash Crops,Jute,330,21986,77086
24.06,85.25,Hilly,Inceptisol,Irrigated,Tomato,4.5,Short-term,Pulses,Pea,96,13045,48272
23.1,85.38,Hilly,Laterite,Rainfed,Onion,2.6,Perennial,Cash Crops,Coffee,315,66887,145017
23.87,85.68,Hilly,Laterite,Irrigated,Jute,4.5,Perennial,Fruits,Litchi,291,27754,89363
23.52,84.75,Hilly,Laterite,Irrigated,Cauliflower,2.8,Short-term,Vegetables,Tomato,104,18452,50732
23.93,85.33,Plain,Alfisol,Tube-well,Maize+Mustard,3.6,Mixed,Agroforestry,Rice+Lentil,346,15894,33053
23.07,85.05,Plateau,Laterite,Rainfed,Green Gram,4.9,Short-term,Oilseeds,Sesame,102,16505,51100
24.31,83.97,Hilly,Laterite,Rainfed,Rice+Lentil,1.6,Mixed,Agroforestry,Maize+Mustard,181,28374,102864
24.46,83.56,Plain,Red Soil,Rainfed,Sorghum,1.3,Perennial,Cash Crops,Cotton,229,97338,383026
24.45,84.21,Plateau,Entisol,Tube-well,Black Gram,2.0,Mixed,Agroforestry,Rice+Lentil,243,35064,80783
24.12,84.61,Plateau,Entisol,Tube-well,Sunflower,1.2,Long-term,Cereals,Maize,159,8997,31025
23.2,85.04,Plateau,Laterite,Rainfed,Rice,1.8,Mixed,Agroforestry,Mango+Lentil,227,70133,187949
24.14,85.62,Plain,Alfisol,Rainfed,Sunflower,3.8,Long-term,Cereals,Millets,169,15582,58502
23.04,83.99,Plain,Red Soil,Rainfed,Wheat,2.6,Perennial,Cash Crops,Jute,363,85446,214531
23.03,83.81,Hilly,Inceptisol,Rainfed,Millets,2.2,Mixed,Agroforestry,Rice+Lentil,258,71009,210770
23.49,85.91,Plain,Red Soil,Rainfed,Pigeon Pea,2.2,Short-term,Vegetables,Onion,91,21603,71089
23.73,83.77,Plateau,Entisol,Rainfed,Banana+Pea,1.4,Perennial,Fruits,Banana,309,39581,116555
24.16,84.7,Plain,Red Soil,Irrigated,Sesame,2.5,Perennial,Cash Crops,Coffee,183,23448,66524
24.02,84.96,Plain,Red Soil,Tube-well,Maize+Mustard,3.3,Mixed,Agroforestry,Mango+Lentil,362,35010,135166
23.67,84.85,Hilly,Inceptisol,Tube-well,Onion,1.1,Perennial,Cash Crops,Tea,226,66687,199082
23.41,83.72,Plain,Alfisol,Rainfed,Rice+Lentil,4.9,Mixed,Agroforestry,Maize+Mustard,352,21263,63278
24.5,83.64,Plateau,Entisol,Irrigated,Banana,2.5,Perennial,Cash Crops,Cotton,294,80267,247407
23.64,83.76,Hilly,Inceptisol,Canal,Groundnut,4.8,Mixed,Agroforestry,Banana+Pea,242,15260,50256
23.68,84.96,Plain,Alfisol,Rainfed,Black Gram,1.1,Short-term,Cereals,Sorghum,111,15332,50054
23.25,84.86,Plain,Red Soil,Irrigated,Mango+Lentil,4.0,Short-term,Oilseeds,Sunflower,94,8166,21258
24.19,84.08,Hilly,Laterite,Rainfed,Papaya,3.3,Long-term,Vegetables,Ladyfinger,132,16009,36025
24.04,85.09,Plain,Alfisol,Rainfed,Brinjal,4.2,Long-term,Cereals,Barley,168,14723,57550
23.33,85.55,Hilly,Laterite,Rainfed,Potato,3.2,Mixed,Agroforestry,Mango+Lentil,235,19744,64169
23.12,83.6,Hilly,Laterite,Rainfed,Groundnut,4.8,Perennial,Fruits,Jackfruit,341,43770,133897
24.02,84.75,Plateau,Entisol,Irrigated,Mango+Lentil,3.3,Mixed,Agroforestry,Maize+Mustard,302,15084,49547
23.98,85.22,Plateau,Laterite,Rainfed,Ladyfinger,4.0,Long-term,Cash Crops,Coffee,176,58551,155565
23.41,84.13,Plateau,Laterite,Rainfed,Coffee,4.4,Perennial,Cash Crops,Cotton,331,43068,120923
24.43,84.27,Plateau,Entisol,Rainfed,Cabbage,3.7,Short-term,Pulses,Pigeon Pea,88,13340,38449
23.23,85.03,Plain,Alfisol,Canal,Pea,2.9,Short-term,Pulses,Pigeon Pea,83,15110,35089
23.65,85.74,Plain,Red Soil,Rainfed,Paddy,1.7,Short-term,Pulses,Pigeon Pea,95,10669,23830
24.42,85.52,Plain,Alfisol,Irrigated,Lentil,4.3,Long-term,Cereals,Millets,172,16697,45698
23.63,84.96,Plateau,Laterite,Irrigated,Onion,2.7,Long-term,Cereals,Sorghum,133,13774,31898
23.96,85.33,Plateau,Entisol,Rainfed,Soybean,3.3,Short-term,Oilseeds,Mustard,110,16511,53721
23.6,84.41,Plateau,Entisol,Rainfed,Green Gram,0.9,Long-term,Oilseeds,Niger,121,8714,32517
23.41,85.1,Plain,Alfisol,Irrigated,Timber+Paddy,2.7,Long-term,Cereals,Sorghum,134,12346,32730
24.48,84.67,Plateau,Entisol,Rainfed,Ladyfinger,3.6,Perennial,Fruits,Mango,317,27511,109610
23.61,83.97,Hilly,Laterite,Rainfed,Potato,3.1,Short-term,Oilseeds,Sunflower,104,13300,45163
24.34,85.25,Plain,Alfisol,Irrigated,Brinjal,2.5,Mixed,Agroforestry,Mango+Lentil,282,61314,207355
23.34,84.89,Hilly,Inceptisol,Rainfed,Banana,1.5,Perennial,Fruits,Litchi,320,12724,27983
23.32,84.4,Plain,Red Soil,Rainfed,Tobacco,1.9,Perennial,Fruits,Litchi,306,34240,69681
23.05,85.78,Hilly,Laterite,Rainfed,Black Gram,3.7,Short-term,Vegetables,Potato,74,18551,57708
23.98,83.55,Plain,Red Soil,Rainfed,Cauliflower,1.5,Short-term,Cereals,Rice,106,13688,37584
23.55,84.29,Hilly,Laterite,Irrigated,Green Gram,3.3,Long-term,Cereals,Rice,144,12925,27010
24.3,83.64,Hilly,Inceptisol,Irrigated,Maize+Mustard,3.2,Short-term,Oilseeds,Mustard,93,26632,74109
23.71,85.42,Plateau,Laterite,Irrigated,Wheat,4.9,Mixed,Agroforestry,Banana+Pea,257,52077,145232
24.45,85.26,Hilly,Inceptisol,Irrigated,Rice+Lentil,0.8,Long-term,Cereals,Barley,157,9937,39172
23.28,84.33,Hilly,Laterite,Rainfed,Black Gram,1.0,Perennial,Fruits,Mango,328,11455,36941
24.3,85.19,Plateau,Entisol,Rainfed,Rice+Lentil,2.8,Short-term,Cereals,Wheat,99,12026,39490
24.16,84.49,Plateau,Laterite,Rainfed,Mustard,2.9,Mixed,Agroforestry,Mango+Lentil,347,56077,112521
24.16,85.39,Plain,Alfisol,Rainfed,Guava,0.7,Short-term,Pulses,Gram,116,11291,44951
24.27,84.64,Hilly,Inceptisol,Tube-well,Mango+Lentil,4.2,Long-term,Cash Crops,Cotton,165,53668,189448
24.14,84.53,Plain,Red Soil,Canal,Banana+Pea,2.7,Short-term,Oilseeds,Soybean,110,13180,41668
23.94,85.84,Plain,Alfisol,Rainfed,Niger,2.1,Mixed,Agroforestry,Mango+Lentil,354,48025,146423
23.2,84.13,Hilly,Inceptisol,Rainfed,Litchi,1.9,Long-term,Fruits,Papaya,164,40920,117033
23.05,83.8,Plateau,Entisol,Rainfed,Banana+Pea,4.4,Short-term,Oilseeds,Sunflower,117,27543,88251
24.38,84.96,Plain,Alfisol,Rainfed,Banana+Pea,1.4,Long-term,Cash Crops,Jute,176,76852,170648
23.92,85.92,Plateau,Laterite,Rainfed,Onion,1.2,Perennial,Cash Crops,Coffee,349,48715,151681
24.19,84.44,Plateau,Entisol,Irrigated,Sorghum,1.5,Long-term,Vegetables,Cabbage,130,17897,57576
23.72,83.66,Plateau,Entisol,Canal,Green Gram,3.3,Long-term,Cereals,Rice,125,9406,31977
23.18,84.35,Plain,Red Soil,Irrigated,Tea,4.1,Long-term,Cereals,Wheat,127,8522,22695
